shipment_id,origin_hub,destination_hub,distance_km,duration_minutes,road_type,weather_condition,traffic_level,shipment_priority,weight_kg,departure_hour,day_of_week,historical_delay_minutes,current_risk_level,rerouted_before,destination_delay_rate,risk_level
SHIP-10000,Kota Transit Hub,Gwalior Transit Hub,664.79,465,expressway,Rain,high,critical,259.48,14,Sunday,55,high,0,0.4332,critical
SHIP-10001,Jhansi Hub,Agra Transit Hub,952.66,1303,city_road,Clear,low,standard,378.71,20,Wednesday,7,low,0,0.6608,low
SHIP-10002,Indore Delivery Hub,Ujjain Hub,688.9,788,state_road,Light Rain,low,express,259.68,1,Saturday,29,medium,0,0.1883,medium
SHIP-10003,Bhopal Central Hub,Jaipur Warehouse,651.91,803,city_road,Clear,moderate,express,123.89,7,Thursday,21,low,0,0.1569,low
SHIP-10004,Kota Transit Hub,Ujjain Hub,451.86,380,highway,Light Rain,high,standard,320.78,16,Sunday,43,medium,0,0.2572,medium
SHIP-10005,Gwalior Transit Hub,Bhopal Central Hub,272.7,485,city_road,Partly Cloudy,low,standard,78.24,15,Friday,15,low,0,0.2358,low
SHIP-10006,Kota Transit Hub,Ujjain Hub,199.15,167,state_road,Heavy Rain,moderate,standard,115.71,12,Wednesday,72,high,0,0.1761,high
SHIP-10007,Indore Delivery Hub,Gwalior Transit Hub,720.08,374,expressway,Partly Cloudy,high,standard,275.11,17,Friday,43,medium,1,0.3603,medium
SHIP-10008,Bhopal Central Hub,Indore Delivery Hub,819.16,479,expressway,Light Rain,moderate,critical,195.6,20,Tuesday,36,medium,0,0.2405,high
SHIP-10009,Jhansi Hub,Kota Transit Hub,113.83,93,state_road,Partly Cloudy,low,standard,372.86,3,Sunday,9,medium,0,0.4786,low
SHIP-10010,Indore Delivery Hub,Delhi Warehouse Central,346.06,173,expressway,Thunderstorm,moderate,standard,292.2,11,Sunday,80,high,0,0.151,high
SHIP-10011,Indore Delivery Hub,Ujjain Hub,870.87,1068,city_road,Rain,low,critical,191.29,10,Tuesday,28,medium,0,0.089,medium
SHIP-10012,Gwalior Transit Hub,Indore Delivery Hub,362.05,255,expressway,Clear,low,standard,164.04,1,Friday,10,medium,0,0.0749,low
